Park Name,County,Park Identifier,Park Address,MH Spaces,Operated by
SPANISH RANCH II,ALAMEDA,01-0001-MP,"121 RANCHERO WAY, HAYWARD, CA 94544, (510) 886-4646",187,"HOMETOWN SPANISH RANCH, LLC, A DELAWARE LIMITED LIABILITY COMPANY, 121 RANCHERO WAY, HAYWARD, CA 94544"
GEORGIAN MANOR MHP,ALAMEDA,01-0003-MP,"1419 BUCKINGHAM WAY, HAYWARD, CA 94544, (510) 785-2212",265,"RASSIER PROPERTIES LLC, 3006 BEE CAVES, AUSTIN, TX 78746"
BAL TRAILER COURT,ALAMEDA,01-0008-MP,"14831 BANCROFT AVE, SAN LEANDRO, CA 94578, (510) 352-8152",31,"SHARON NICHOLS BAL TRAILER CT, LLC, PO BOX 27, YORBA LINDA, CA 92885"
VASCO MHP,ALAMEDA,01-0010-MP,"6539 S FRONT RD, LIVERMORE, CA 94550, (925) 447-0758",50,"SOLOMON/MANDEL, EDWARD/GEORGE, PO BOX 406, ALAMO, CA 94507"
AVALON MOBILE HOME PARK,ALAMEDA,01-0013-MP,"3970 CASTRO VALLEY BLVD, CASTRO VALLEY, CA 94546, (510) 537-4815",49,"TPC AVALON MHP LLC, 221 MAIN STREET SUITE # 2039, LOS ALTOS, CA 94023"
NEW ENGLAND VILLAGE,ALAMEDA,01-0015-MP,"940 NEW ENGLAND VILLAGE DR, HAYWARD, CA 94544, (510) 785-4511",415,"BRANDENBURG STAEDLER & MOORE, 1122 WILLOW ST SUITE # 200, SAN JOSE, CA 95125"
DEL RIO MOBILE HOME,ALAMEDA,01-0016-MP,"1550 162ND AVE, SAN LEANDRO, CA 94578, (510) 278-8810",52,"CALIFANO FAMILY TRUST, 1550 162ND AVENUE SPACE # 43, SAN LEANDRO, CA 94578"
DEL VALLE MHP,ALAMEDA,01-0017-MP,"1148 ARROYO RD, LIVERMORE, CA 94550, (510) 331-2000",29,"ABBOUD FAMILY TRUST, PO BOX 3975, HAYWARD, CA 94540"
BAYSHORE COMMONS,ALAMEDA,01-0023-MP,"1468 GRAND AVE, SAN LEANDRO, CA 94577, (510) 351-5950",40,"SAN LEANDRO TRAILER PARK LLC, 6653 EMBARCADERO DR SUITE # C, STOCKTON, CA 95219"
FAIRVIEW TP,ALAMEDA,01-0024-MP,"785 ROSE AVE, PLEASANTON, CA 94566, (925) 846-5074",14,"GIL, EDMUND, 2606 DERBY DR, SAN RAMON, CA 94583"
GARDEN TP,ALAMEDA,01-0027-MP,"21749 GARDEN AVE, HAYWARD, CA 94541, (510) 481-9901",13,"WILLIAMS, KEN, 15263 HESPERIAN BLVD. #57, SAN LEANDRO, CA 94578"
GOLDEN STATE TP,ALAMEDA,01-0028-MP,"1511 150TH AVE, SAN LEANDRO, CA 94578, (510) 333-1291",18,"KOON, CHUEN & LEUNG, AMY, 107 NORWICH RD, ALAMEDA, CA 94502"
HACIENDA TP,ALAMEDA,01-0029-MP,"3784 CASTRO VALLEY BLVD, CASTRO VALLEY, CA 94546, (510) 481-0516",28,"STALEY, RONALD, 10633 DUBLIN CANYON RD, CASTRO VALLEY, CA 94552"
HIDDEN TP,ALAMEDA,01-0030-MP,"651 WEST A ST, HAYWARD, CA 94541, (510) 481-0516",35,"BERNSTEIN, EVE, 4248 23RD ST, SAN FRANCISCO, CA 94114"
HILLVIEW TRAILER CT,ALAMEDA,01-0031-MP,"1412 PORTOLA, LIVERMORE, CA 94550, (925) 443-3555",14,"BIRELEY, JERRY & KATHLEEN, 449 ENCINO DR, LIVERMORE, CA 94550"
LONESOME DOVE MOBILE HOME PARK,ALAMEDA,01-0032-MP,"828 OLIVINA AVE, LIVERMORE, CA 94551, (408) 778-4456",17,"WAGAR, JIM, 16275 MONTEREY ST #O, MORGAN HILL, CA 95037"
