Park Name,County,Park Identifier,MH Spaces,Phone,Address,Operater
SPANISH RANCH II,ALAMEDA,01-0001-MP,187.0,(510) 886-4646,"121 RANCHERO WAY, HAYWARD, CA 94544",HOMETOWN SPANISH RANCH
GEORGIAN MANOR MHP,ALAMEDA,01-0003-MP,265.0,(510) 785-2212,"1419 BUCKINGHAM WAY, HAYWARD, CA 94544",RASSIER PROPERTIES LLC
BAL TRAILER COURT,ALAMEDA,01-0008-MP,31.0,(510) 352-8152,"14831 BANCROFT AVE, SAN LEANDRO, CA 94578",SHARON NICHOLS BAL TRAILER CT
VASCO MHP,ALAMEDA,01-0010-MP,50.0,(925) 447-0758,"6539 S FRONT RD, LIVERMORE, CA 94550",SOLOMON/MANDEL
AVALON MOBILE HOME PARK,ALAMEDA,01-0013-MP,49.0,(510) 537-4815,"3970 CASTRO VALLEY BLVD, CASTRO VALLEY, CA 94546",TPC AVALON MHP LLC
NEW ENGLAND VILLAGE,ALAMEDA,01-0015-MP,415.0,(510) 785-4511,"940 NEW ENGLAND VILLAGE DR, HAYWARD, CA 94544",BRANDENBURG STAEDLER & MOORE
DEL RIO MOBILE HOME,ALAMEDA,01-0016-MP,52.0,(510) 278-8810,"1550 162ND AVE, SAN LEANDRO, CA 94578",CALIFANO FAMILY TRUST
DEL VALLE MHP,ALAMEDA,01-0017-MP,29.0,(510) 331-2000,"1148 ARROYO RD, LIVERMORE, CA 94550",ABBOUD FAMILY TRUST
BAYSHORE COMMONS,ALAMEDA,01-0023-MP,40.0,(510) 351-5950,"1468 GRAND AVE, SAN LEANDRO, CA 94577",SAN LEANDRO TRAILER PARK LLC
FAIRVIEW TP,ALAMEDA,01-0024-MP,14.0,(925) 846-5074,"785 ROSE AVE, PLEASANTON, CA 94566",GIL
GARDEN TP,ALAMEDA,01-0027-MP,13.0,(510) 481-9901,"21749 GARDEN AVE, HAYWARD, CA 94541",WILLIAMS
